url_id,url,source,registered_domain,identifier,category
0,https://hightailinitpetgrooming.godaddysites.com/,bingsearch,godaddysites.com,ca3623699ac42718c7707cd0fc04727c061c1abe68ca48cd78bfe883b2d600b8,benign
1,https://dejohnsitalianspaghettihouse.godaddysites.com/,bingsearch,godaddysites.com,4542dfa76696bbd8d415041d1262e018cd2e55a461cdcd7289434729bcf92666,benign
2,https://tristatepinto.godaddysites.com/,bingsearch,godaddysites.com,d82e64e77d4c7a694c2d18ccdccc1c45d78a8ee870acea8db4a8e84a55d98fb4,benign
3,https://kidneyspecialistofthepalmbeach.godaddysites.com/,bingsearch,godaddysites.com,591f66c5f81eb2093d4298135b29f9f4035531e808df5506b71c7e7a00d9cdb1,benign
4,https://westendsimulations.godaddysites.com/,bingsearch,godaddysites.com,f781480367c6bb1434e0af63b8771d0a4c7630a0851447ee3312fd8abd84bf3b,benign
5,https://mainelyperinataleducationllc.godaddysites.com/,bingsearch,godaddysites.com,c2fa58c0d1cfb6601185e1d757ac991698c57e7b7d396cef240a9fc3f8855642,benign
6,https://wildwooddays.godaddysites.com/,bingsearch,godaddysites.com,5f8dd15cd73a114e3ce4d39eabf66b35c70823c869bd24392528bb13c91022bd,benign
7,https://sweetbasil7.godaddysites.com/,bingsearch,godaddysites.com,529941937ed07fbd887be596fc3e8f9de42dba8891dba4658accbc9a785c5902,benign
8,https://ridgeplumbinginc.godaddysites.com/,bingsearch,godaddysites.com,875aa494cbde3d456a23d566f08b6448b3151ea628c77b63ce7c4af3005db9bb,benign
9,https://abstergo2.godaddysites.com/,bingsearch,godaddysites.com,f47d92968fa6a8526fa5ebcc1e96fd57a7b6756ae08ac3d7fa8e3a519acc9258,benign
10,https://theatrescarborough.godaddysites.com/,bingsearch,godaddysites.com,0e1a05d59b2a326cde93591c506da047566603604eeb52c588c0f739ee183a54,benign
11,https://kennelkampvillage.godaddysites.com/,bingsearch,godaddysites.com,6952b46b0c501df4c7e8d26c3aa2dbe7cf7421224f792df1488c781badb23c27,benign
12,https://tokyohouse.godaddysites.com/,bingsearch,godaddysites.com,5cf4ba1b04238c9512c5d2473e21f62989dfee41267af6abac2fd0590b06d712,benign
13,https://greystonemedicalclinic.godaddysites.com/,bingsearch,godaddysites.com,5fd386e4c1dd09d49a06caeb04fb55bc27ad72ea8e69fb7d35cb15ea6303cf58,benign
14,https://thebrown.godaddysites.com/,bingsearch,godaddysites.com,4a10642209747e6328cd473487f87c918a7579b368c8b5a317f573c6dae3f461,benign
15,https://eljalapenomexicangrill.godaddysites.com/,bingsearch,godaddysites.com,76d8efb88bdeb51a113645f567f381958f70837b5f836f649338154ee26a8e90,benign
